lat;lng;uf
-25.6589794679281;-54.44782811467566;PR
-25.614573325798283;-54.49888731000131;PR
-25.628419341079706;-54.52433567415194;PR
-25.589352341737154;-54.54902929486603;PR
-25.59236229168635;-54.59372657811906;PR
-25.536605295198143;-54.59449746438641;PR
-25.484624809187515;-54.6009755373911;PR
-25.45409925497659;-54.61930463799861;PR
-25.44134884507305;-54.60311581324409;PR
-25.39763855697381;-54.58741564501593;PR
-25.3677380909401;-54.564914573248956;PR
-25.349327089073846;-54.54185608548994;PR
-25.298875225711058;-54.5007453273349;PR
-25.23316958251018;-54.48185799415104;PR
-25.194513775690147;-54.46388654942463;PR
-25.159468245962685;-54.430307798665936;PR
-25.13160494491226;-54.43345183303559;PR
-25.104087710179577;-54.45886528820243;PR
-25.06406542667805;-54.46156256366133;PR
-25.026854137008797;-54.45663370867869;PR
-24.990190669363827;-54.44261015733284;PR
-24.94914984518916;-54.4419415311767;PR
-24.88294243064861;-54.415686585767304;PR
-24.842552684158953;-54.409417685178;PR
-24.76828707159106;-54.38222061808696;PR
-24.743213282267135;-54.357885956371746;PR
-24.718255798666128;-54.35119458935874;PR
-24.66267948317155;-54.32541047950993;PR
-24.590624392501724;-54.31753058826597;PR
-24.530245539000404;-54.33593372556092;PR
-24.500550879219624;-54.3370989285726;PR
-24.45851556404199;-54.32305234738791;PR
-24.410823488912875;-54.28408576994229;PR
-24.367623156883184;-54.2603277733081;PR
-24.350608040428632;-54.258562476077394;PR
-24.290037014396624;-54.2783200310445;PR
-24.250896312914477;-54.32283994460774;PR
-24.21436947207342;-54.323323725009885;PR
-24.1631540375288;-54.342884136893346;PR
-24.12229829473049;-54.337401123263206;PR
-24.09818852737859;-54.30664577788032;PR
-24.068900612073513;-54.285865633492165;PR
-24.05590179143453;-54.24946393511248;PR
-24.03599059808763;-54.21719490661963;PR
-24.00197275064184;-54.174686714420275;PR
-23.988402818235464;-54.14025633716018;PR
-23.951963548878602;-54.10176498846336;PR
-23.891253248438588;-54.080457986147074;PR
-23.844530311524665;-54.088105301918105;PR
-23.764484863185807;-54.075709274363454;PR
-23.730602510297544;-54.05492714337295;PR
-23.668655873169925;-54.04460817832474;PR
-23.646063955487094;-54.03085920528804;PR
-23.58607836652333;-54.02401779988149;PR
-23.544746247441267;-54.00734827220498;PR
-23.511079979157707;-54.00434246093576;PR
-23.46661487117933;-53.98737853659016;PR
-23.443414904774016;-53.960197579054935;PR
-23.445948751833384;-53.932055049301056;PR
-23.41978840521066;-53.876594354246016;PR
-23.385644851428687;-53.81602180206449;PR
-23.37533795798028;-53.77596139989865;PR
-23.31043340477774;-53.72522090542041;PR
-23.263252445843683;-53.70559672800648;PR
-23.234904327472655;-53.699341038458066;PR
-23.184260907614757;-53.66936326849994;PR
-23.144160088117566;-53.65475459215062;PR
-23.12503077614933;-53.63658872838707;PR
-23.013504758337916;-53.62989581543947;PR
-22.998495487077037;-53.6341250608228;PR
-22.951333468764496;-53.607423503092136;PR
-22.928491310225716;-53.570771231107386;PR
-22.890096237551248;-53.546826942609314;PR
-22.863854220795552;-53.48476120286716;PR
-22.832955352607385;-53.429650749682295;PR
-22.811387418294643;-53.40798116230075;PR
-22.804434817113112;-53.379785470023336;PR
-22.78358826768438;-53.363809137081944;PR
-22.765210666638897;-53.32908641810364;PR
-22.731423797470235;-53.23093840388416;PR
-22.731260309715434;-53.20672076645015;PR
-22.718733738371228;-53.18536640223759;PR
-22.678081312502524;-53.147608422790455;PR
-22.62260016146826;-53.10625966175391;PR
-22.6448489266366;-53.09150397412908;PR
-22.63262273515107;-53.05579790135202;PR
-22.60841137408564;-53.030807025923494;PR
-22.570484747473113;-52.97242498032848;PR
-22.565623982860433;-52.92474261877678;PR
-22.572207290933694;-52.905362502077786;PR
-22.608001008939333;-52.85836280330066;PR
-22.597043166408998;-52.81543966480869;PR
-22.61236886413171;-52.75030181217882;PR
-22.62524230938507;-52.72690425932407;PR
-22.62700657419398;-52.697105379809386;PR
-22.611917584329028;-52.66303732231451;PR
-22.57447157880032;-52.61135738973171;PR
-22.566096593682822;-52.589344442092255;PR
-22.611743467486928;-52.54537719520134;PR
-22.634229972934822;-52.49882355566247;PR
-22.61062070528132;-52.45504767461047;PR
-22.607166482147395;-52.433045838994225;PR
-22.62654484516848;-52.38049079141683;PR
-22.635444963314328;-52.30043558903115;PR
-22.620390234021976;-52.27869467372018;PR
-22.61542638911655;-52.25041311237518;PR
-22.642516918920602;-52.228098636442894;PR
-22.67553490820941;-52.22257722805657;PR
-22.66091382481314;-52.20106752844365;PR
-22.644718933232117;-52.15667798240296;PR
-22.58945086126815;-52.16096540762741;PR
-22.54925352922696;-52.14876193571477;PR
-22.519923031922357;-52.127602244148214;PR
-22.521249907856905;-52.089617366648106;PR
-22.53932648243117;-52.05187784488657;PR
-25.96873017955403;-48.63864664982299;SC
-25.990397969190838;-48.59874704014368;SC
-26.055276020272004;-48.60887184605883;SC
-26.123835123292224;-48.59777509244651;SC
-26.162432601882927;-48.58221976542973;SC
-26.16798299901609;-48.523975999592665;SC
-26.204126287997667;-48.526779261053946;SC
-26.23912818172016;-48.506079183307634;SC
-26.297070530780275;-48.539178289646316;SC
-26.361564049741048;-48.56462230827282;SC
-26.40526999951078;-48.5911700000953;SC
-26.453444572608817;-48.5933412396065;SC
-26.51024642393321;-48.6325590984236;SC
-26.602484599084903;-48.67275252830643;SC
-26.669643934319993;-48.68691271544935;SC
-26.76567821527732;-48.66900406138831;SC
-26.789776125967364;-48.61658708942258;SC
-26.826709745458288;-48.60583996794014;SC
-26.846915078268125;-48.63251332562942;SC
-26.909908019039733;-48.643293949556096;SC
-26.928252812816936;-48.62618964463633;SC
-26.983143448311466;-48.63343109366997;SC
-27.004182313263073;-48.615036469357506;SC
-27.004299538992427;-48.58174440268198;SC
-27.08018778663694;-48.591304559357866;SC
-27.10718957403958;-48.61162690925437;SC
-27.144538563403955;-48.584817761130694;SC
-27.15656927375295;-48.54901861571648;SC
-27.126965169406958;-48.52526986771011;SC
-27.148297657610783;-48.488719896306065;SC
-27.18574037072142;-48.499413519818006;SC
-27.182595147447955;-48.54237273641263;SC
-27.219353998987742;-48.606099999715184;SC
-27.262093999538365;-48.61663699999747;SC
-27.30774199929374;-48.602109000030225;SC
-27.31981573770605;-48.58450008730915;SC
-27.306988564370727;-48.537976494119846;SC
-27.34394995132908;-48.52575064887327;SC
-27.358147355116216;-48.5368354271132;SC
-27.408262039261558;-48.526270411150506;SC
-27.378282945501496;-48.48347229910729;SC
-27.380419523342255;-48.41674459258877;SC
-27.42632606829335;-48.398887146824336;SC
-27.44371523077325;-48.37043987819777;SC
-27.48187492298922;-48.37765716784395;SC
-27.50400575466182;-48.40364504428328;SC
-27.5493098680559;-48.427845401244156;SC
-27.583874229012395;-48.419562896110676;SC
-27.63634066638855;-48.45609252664866;SC
-27.741810248444153;-48.50760510888864;SC
-27.762806235519236;-48.47757531315011;SC
-27.794323176273508;-48.49418283886689;SC
